Acousticness,Danceability,Duration,Energy,Explicit,Instrumentalness,Liveness,Loudness,Mode,Speechiness,Tempo,TimeSignature,Valence
0.631,0.399,213492,0.491,TRUE,0,0.171,-8.992,1,0.0714,94.542,3,0.356
0.0999,0.758,230484,0.888,TRUE,0.0336,0.661,-4.899,0,0.0374,120.392,4,0.771
0.161,0.529,195720,0.69,TRUE,0,0.498,-7.87,1,0.74,170.54,4,0.311
0.528,0.766,188703,0.531,FALSE,6.65e-4,0.11,-10.899,0,0.272,146.089,4,0.29
0.0429,0.828,211643,0.482,FALSE,7.8e-6,0.0807,-8.469,1,0.431,165.946,4,0.281
0.412,0.711,150960,0.543,TRUE,0,0.505,-12.692,1,0.112,102.01,4,0.801
0.686,0.622,253935,0.599,FALSE,0,0.145,-9.207,0,0.458,92.833,4,0.275
0.414,0.584,419307,0.445,TRUE,0,0.158,-9.523,1,0.0719,119.917,4,0.389
0.234,0.787,283551,0.69,TRUE,0,0.112,-6.206,0,0.404,171.029,4,0.465
0.0589,0.835,217925,0.626,TRUE,6e-5,0.396,-5.833,1,0.125,91.03,4,0.35
0.00427,0.79,234176,0.731,TRUE,0.29,0.157,-4.607,0,0.0327,127.403,4,0.938
0.0079,0.844,202085,0.47,FALSE,2.82e-6,0.141,-6.048,1,0.3,170.91,3,0.395
0.348,0.733,353698,0.361,TRUE,2.85e-4,0.0942,-11.129,1,0.135,94.902,4,0.0361
0.19,0.395,257690,0.922,TRUE,0,0.134,-2.176,1,0.375,162.361,4,0.558
0.329,0.743,181933,0.571,TRUE,0,0.522,-8.038,1,0.505,172.056,4,0.571
0.165,0.774,209957,0.912,TRUE,0,0.745,-2.787,0,0.347,150.083,4,0.821
0.102,0.45,274147,0.92,TRUE,0,0.137,-5.945,1,0.519,66.454,3,0.188
0.209,0.49,139575,0.507,TRUE,0.00104,0.119,-6.205,0,0.0849,147.037,3,0.237
0.0141,0.602,234333,0.81,TRUE,7.66e-6,0.324,-4.653,1,0.286,156.325,4,0.275
0.0763,0.623,253533,0.742,TRUE,0,0.31,-6.963,1,0.296,82.884,4,0.362
0.0795,0.925,268480,0.429,TRUE,2.56e-4,0.0815,-7.663,0,0.122,96.002,4,0.319
